         262244 function calls (260113 primitive calls) in 0.402 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\backend_bases.py:884(set_dashes)
       48    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\_api\__init__.py:132(check_shape)
    24/12    0.000    0.000    0.046    0.004 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axis.py:1134(set_clip_path)
       78    0.000    0.000    0.016    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axis.py:234(set_clip_path)
        6    0.000    0.000    0.006    0.001 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axes\_axes.py:834(axvline)
      126    0.000    0.000    0.002    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\markers.py:220(__init__)
      948    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       30    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\numpy\lib\_stride_tricks_impl.py:427(_broadcast_shape)
        6    0.000    0.000    0.001    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\lines.py:743(draw)
  953/938    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       18    0.000    0.000    0.000    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
        9    0.000    0.000    0.012    0.001 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\osgeo\gdal_array.py:574(BandReadAsArray)
      258    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:449(get_transform)
     24/6    0.000    0.000    0.035    0.006 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axis.py:561(__get__)
      276    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\weakref.py:451(get)
      708    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:1049(get_points)
       66    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
     12/3    0.000    0.000    0.015    0.005 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axis.py:455(__init__)
      198    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       48    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\path.py:202(_update_values)
       12    0.000    0.000    0.004    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axis.py:1702(grid)
      129    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\text.py:1000(set_horizontalalignment)
       75    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      744    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        6    0.000    0.000    0.045    0.008 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axis.py:870(clear)
        9    0.000    0.000    0.000    0.000 {built-in method osgeo._gdal.Dataset_GetRasterBand}
      171    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\lines.py:75(_scale_dashes)
  117/114    0.000    0.000    0.000    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\transforms.py:1118(get_points)
     27/3    0.000    0.000    0.014    0.005 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\artist.py:54(draw_wrapper)
        6    0.000    0.000    0.006    0.001 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axes\_base.py:4419(get_tightbbox)
       12    0.000    0.000    0.004    0.000 C:\Users\jgarc\anaconda3\envs\wiser-source\Lib\site-packages\matplotlib\axis.py:970(set_tick_params)
